studied_credits,num_of_prev_attempts,highest_education,avg_score,total_assessments,target
240,0,1,82.0,5.0,0
60,0,1,66.4,5.0,0
60,0,0,0.0,0.0,1
60,0,0,76.0,5.0,0
60,0,2,54.4,5.0,0
60,0,0,68.0,5.0,0
60,0,1,68.0,5.0,0
120,0,0,72.4,5.0,0
90,0,0,71.4,5.0,0
60,0,4,78.0,5.0,0
60,0,2,74.0,5.0,0
60,0,0,73.2,5.0,0
60,0,2,78.6,5.0,0
60,0,1,76.0,5.0,0
60,0,2,71.6,5.0,0
60,0,0,67.0,4.0,1
60,0,0,55.6,5.0,0
60,0,1,80.4,5.0,0
150,0,0,48.5,4.0,1
60,0,0,66.0,5.0,0
60,0,0,70.4,5.0,0
60,0,1,70.8,5.0,0
60,0,2,65.33333333333333,6.0,1
60,0,2,60.6,5.0,0
60,0,0,68.4,5.0,0
60,0,2,72.6,5.0,0
60,0,0,78.0,5.0,0
60,0,1,76.6,5.0,0
60,0,4,79.6,5.0,0
60,0,1,60.0,3.0,1
60,0,2,53.4,5.0,0
60,0,1,63.4,5.0,0
60,0,1,81.0,3.0,0
60,0,2,77.6,5.0,0
60,0,4,71.8,5.0,0
60,0,1,72.8,5.0,0
60,0,1,62.4,5.0,0
60,0,0,74.2,5.0,0
120,0,1,61.8,5.0,0
60,0,0,71.4,5.0,0
180,0,0,69.6,5.0,0
60,0,0,81.0,6.0,1
120,0,2,67.4,5.0,0
60,0,0,84.4,5.0,0
180,0,2,0.0,0.0,1
60,0,2,53.142857142857146,7.0,1
60,0,0,80.2,5.0,0
240,0,0,72.6,5.0,0
345,0,0,48.833333333333336,6.0,1
60,0,0,73.6,5.0,0
60,0,1,68.8,5.0,0
120,0,1,54.4,5.0,0
60,0,0,50.0,5.0,1
120,0,2,68.66666666666667,9.0,1
90,0,2,52.0,1.0,1
60,0,0,79.5,8.0,1
150,0,0,50.0,5.0,0
420,0,0,67.0,5.0,0
60,0,0,79.8,5.0,0
60,0,2,78.14285714285714,7.0,1
60,0,0,70.6,5.0,0
60,0,0,68.2,5.0,1
60,0,0,71.8,5.0,0
60,0,0,69.4,5.0,0
60,0,2,66.4,5.0,0
60,0,1,69.6,5.0,0
60,0,0,61.4,5.0,0
60,0,1,80.4,5.0,0
60,0,1,82.4,5.0,0
60,0,1,78.2,5.0,0
